session_id,user,src_ip,src_host,auth_count_1149,start,end_A_next1149_or_pad,end_B_last_disconnect_or_none,duration_A_sec,duration_B_sec,disconnect_count,reconnect_count,confidence,evidence_auth_1149_first,evidence_auth_1149_last,evidence_disconnect_last,evidence_reconnect_last,evidence_events
S0029,pcj,163.152.125.134,,1,2025-12-17T05:30:39.972345+00:00,2025-12-17T05:40:39.972345+00:00,,600,,0,0,MEDIUM,2025-12-17T05:30:39.972345+00:00,2025-12-17T05:30:39.972345+00:00,,,"[{'timestamp': '2025-12-17T05:30:39.972345+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0012,UNKNOWN,163.152.10.117,,1,2025-12-17T13:39:16.355562+00:00,2025-12-17T13:49:16.355562+00:00,,600,,0,0,LOW,2025-12-17T13:39:16.355562+00:00,2025-12-17T13:39:16.355562+00:00,,,"[{'timestamp': '2025-12-17T13:39:16.355562+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0030,pcj,163.152.125.134,,1,2025-12-18T00:53:49.518837+00:00,2025-12-18T01:03:49.518837+00:00,,600,,0,0,MEDIUM,2025-12-18T00:53:49.518837+00:00,2025-12-18T00:53:49.518837+00:00,,,"[{'timestamp': '2025-12-18T00:53:49.518837+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0013,UNKNOWN,163.152.10.117,,1,2025-12-19T00:34:33.719290+00:00,2025-12-19T00:44:33.719290+00:00,,600,,0,0,LOW,2025-12-19T00:34:33.719290+00:00,2025-12-19T00:34:33.719290+00:00,,,"[{'timestamp': '2025-12-19T00:34:33.719290+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0014,UNKNOWN,163.152.10.117,,1,2025-12-22T12:22:33.332491+00:00,2025-12-22T12:32:33.332491+00:00,,600,,0,0,LOW,2025-12-22T12:22:33.332491+00:00,2025-12-22T12:22:33.332491+00:00,,,"[{'timestamp': '2025-12-22T12:22:33.332491+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0015,UNKNOWN,163.152.10.117,,1,2025-12-23T03:02:32.769756+00:00,2025-12-23T03:12:32.769756+00:00,,600,,0,0,LOW,2025-12-23T03:02:32.769756+00:00,2025-12-23T03:02:32.769756+00:00,,,"[{'timestamp': '2025-12-23T03:02:32.769756+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0031,pcj,163.152.125.134,,1,2025-12-23T08:35:42.538782+00:00,2025-12-23T08:45:42.538782+00:00,,600,,0,0,MEDIUM,2025-12-23T08:35:42.538782+00:00,2025-12-23T08:35:42.538782+00:00,,,"[{'timestamp': '2025-12-23T08:35:42.538782+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0016,UNKNOWN,163.152.10.117,,1,2025-12-24T04:07:42.097574+00:00,2025-12-24T04:17:42.097574+00:00,,600,,0,0,LOW,2025-12-24T04:07:42.097574+00:00,2025-12-24T04:07:42.097574+00:00,,,"[{'timestamp': '2025-12-24T04:07:42.097574+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0017,UNKNOWN,163.152.10.117,,1,2025-12-24T06:28:07.510468+00:00,2025-12-24T06:38:07.510468+00:00,,600,,0,0,LOW,2025-12-24T06:28:07.510468+00:00,2025-12-24T06:28:07.510468+00:00,,,"[{'timestamp': '2025-12-24T06:28:07.510468+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0018,UNKNOWN,163.152.10.117,,1,2025-12-29T16:10:48.882124+00:00,2025-12-29T16:20:48.882124+00:00,,600,,0,0,LOW,2025-12-29T16:10:48.882124+00:00,2025-12-29T16:10:48.882124+00:00,,,"[{'timestamp': '2025-12-29T16:10:48.882124+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0019,UNKNOWN,163.152.10.117,,1,2025-12-29T19:26:25.719997+00:00,2025-12-29T19:36:25.719997+00:00,,600,,0,0,LOW,2025-12-29T19:26:25.719997+00:00,2025-12-29T19:26:25.719997+00:00,,,"[{'timestamp': '2025-12-29T19:26:25.719997+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0032,pcj,163.152.125.134,,1,2025-12-30T03:21:21.296556+00:00,2025-12-30T03:31:21.296556+00:00,,600,,0,0,MEDIUM,2025-12-30T03:21:21.296556+00:00,2025-12-30T03:21:21.296556+00:00,,,"[{'timestamp': '2025-12-30T03:21:21.296556+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0020,UNKNOWN,163.152.10.117,,1,2025-12-30T04:10:56.963364+00:00,2025-12-30T04:20:56.963364+00:00,,600,,0,0,LOW,2025-12-30T04:10:56.963364+00:00,2025-12-30T04:10:56.963364+00:00,,,"[{'timestamp': '2025-12-30T04:10:56.963364+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0033,pcj,163.152.125.134,,1,2025-12-30T05:41:59.459192+00:00,2025-12-30T05:51:59.459192+00:00,,600,,0,0,MEDIUM,2025-12-30T05:41:59.459192+00:00,2025-12-30T05:41:59.459192+00:00,,,"[{'timestamp': '2025-12-30T05:41:59.459192+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0034,pcj,163.152.125.134,,1,2025-12-30T11:25:45.617823+00:00,2025-12-30T11:35:45.617823+00:00,,600,,0,0,MEDIUM,2025-12-30T11:25:45.617823+00:00,2025-12-30T11:25:45.617823+00:00,,,"[{'timestamp': '2025-12-30T11:25:45.617823+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
S0035,pcj,163.152.125.134,,1,2025-12-31T04:10:28.112221+00:00,2025-12-31T04:20:28.112221+00:00,,600,,0,0,MEDIUM,2025-12-31T04:10:28.112221+00:00,2025-12-31T04:10:28.112221+00:00,,,"[{'timestamp': '2025-12-31T04:10:28.112221+00:00', 'source': 'RCM', 'event_id': 1149, 'note': 'Auth Success'}]"
